,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
18,5YbgcwHjQhdT1BYQ4rxWlD,Don't Worry Be Happy,Bobby McFerrin,['Bobby McFerrin'],0.681,0.163,11,-22.597,1,0.881,7.62e-05,0.0688,0.771,69.283,292400,4,85,13,1108
19,24fXShNbufmThxBTWWPfO1,Cassy O',George Ezra,['George Ezra'],0.544,0.847,2,-4.794,1,0.0462,0.0,0.336,0.168,97.974,184133,4,72,10,607
20,6W99yGcIH43jskdRA7idD3,Gimme Hope Jo'Anna,Eddy Grant,['Eddy Grant'],0.896,0.704,10,-12.148,1,0.401,0.132,0.0884,0.98,128.685,243696,4,128,13,1036
21,3O0FuEfTpt3Zn6J3pXrXVO,Little Talks,Of Monsters and Men,['Of Monsters and Men'],0.466,0.801,1,-5.175,1,0.0209,0.0,0.241,0.379,103.197,267413,4,110,8,831
22,4er8NyQ8cFnZ2b643Tjc44,Shiny Happy People,R.E.M.,['R.E.M.'],0.491,0.87,9,-5.99,1,0.00361,0.126,0.184,0.814,124.444,224800,4,114,9,780
23,4L8gG0XMQzKJfmygtHV5qZ,My Girls,The Vanjas,['The Vanjas'],0.642,0.855,11,-3.194,1,0.0166,0.193,0.27,0.623,136.062,165905,4,90,4,529
24,7KdF7Zac5eC9jutk9Qret4,The Wire,HAIM,['HAIM'],0.548,0.632,2,-5.569,1,0.0126,4.95e-06,0.0769,0.535,113.682,245800,4,129,12,1000
25,5olYKlNYCELRBQzxQ6Tr1V,Everybody Needs Somebody To Love,The Blues Brothers,['The Blues Brothers'],0.525,0.686,5,-8.879,1,0.18,2.66e-06,0.274,0.91,193.667,150126,4,119,7,548
26,04MNyOQZDvLsW2gjAm9q2L,Love Natural,Crystal Fighters,['Crystal Fighters'],0.654,0.791,11,-6.243,1,0.0392,0.0,0.321,0.603,133.042,199526,4,109,9,776
27,0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister",Train,['Train'],0.675,0.885,1,-4.432,0,0.217,0.0,0.086,0.768,97.03,216667,4,85,10,819
28,5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,"['Calvin Harris', 'Pharrell Williams', 'Katy Perry', 'Big Sean', 'Funk Wav']",0.893,0.745,11,-3.105,0,0.0642,0.0,0.0943,0.872,101.018,223413,4,93,7,905
29,1iRlSxYYKp4T7TAgqt5jT4,Hot Pink Tiger,Limón Limón,['Limón Limón'],0.693,0.754,4,-7.57,0,0.00828,0.0198,0.445,0.432,123.98,229920,4,117,10,947
30,0Me1AKVY2wzxOKLMiaAtNy,Best Fake Smile,James Bay,['James Bay'],0.689,0.887,11,-4.27,1,0.0231,0.0,0.275,0.937,142.014,205027,4,119,11,796
31,2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",0.794,0.811,6,-8.966,0,0.0426,1.07e-06,0.101,0.862,116.047,248413,4,119,13,1244
32,3cQzrjkL2UaGLX1abHxaIz,I'm Alive,TTRRUUCES,['TTRRUUCES'],0.638,0.85,9,-4.251,1,0.0733,0.0122,0.0867,0.545,100.015,229227,4,94,10,840
33,3v8PlUFGQQDBIk1J86waCo,Should I Stay or Should I Go - Remastered,The Clash,['The Clash'],0.742,0.844,2,-6.441,1,0.0838,0.0,0.418,0.85,113.371,188240,4,86,6,631
34,3JvrhDOgAt6p7K8mDyZwRd,Riptide,Vance Joy,['Vance Joy'],0.484,0.731,1,-6.694,1,0.431,0.0,0.151,0.51,101.654,204280,4,87,6,838
35,1bxa0TPdBMHPeZFHe0adCw,Don't Slack (from Trolls World Tour),Anderson .Paak,"['Anderson .Paak', 'Justin Timberlake']",0.618,0.837,9,-5.574,1,0.0842,0.0,0.344,0.8,168.114,174800,4,117,13,756
36,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,['Portugal. The Man'],0.801,0.795,1,-5.115,0,0.0417,0.000113,0.0717,0.754,79.028,163253,4,52,8,726
37,1hy6Dic0L5SU1XqjhYY1TR,Accidentally In Love,Counting Crows,['Counting Crows'],0.556,0.929,7,-3.659,1,0.0499,1.7e-06,0.0931,0.842,137.996,188893,4,103,8,603
38,2kiJ5lZQZusgWwpqA7z2i1,I'm Good,The Mowgli's,"[""The Mowgli's""]",0.613,0.923,0,-5.234,1,0.00892,0.0,0.149,0.669,96.043,166920,4,64,6,571
39,7w4Tbkbx081vRJa8ol56Qf,Walk Of Life,Dire Straits,['Dire Straits'],0.461,0.936,4,-6.824,1,0.416,0.000135,0.136,0.811,172.43,249333,4,175,11,1047
40,6fWMEDCURTkeP9bPYvzcJe,Homerun (Radio Edit),The Brahms,['The Brahms'],0.532,0.831,9,-4.359,1,0.0104,0.000183,0.0801,0.764,93.948,159407,4,59,10,581
41,6pyex9B1kBoRIuabBAc4m8,Jailhouse Rock,Elvis Presley,['Elvis Presley'],0.635,0.672,10,-6.788,0,0.314,5.03e-06,0.0688,0.895,166.903,155333,4,107,12,623
42,5zsvG3RApT8qMVl7673FqF,Shine On,The Kooks,['The Kooks'],0.466,0.634,6,-5.3,1,0.0763,0.0,0.0678,0.324,128.992,194240,4,101,10,622
43,4Sqc0kPuZpfI0T2TZBu8JT,Grace Kelly,MIKA,['MIKA'],0.676,0.824,0,-5.752,1,0.0271,0.0152,0.363,0.696,122.221,187733,4,94,8,706
44,6nzhhT57iQYrbqumru9NNP,ABC,The Jackson 5,['The Jackson 5'],0.559,0.752,8,-10.046,1,0.448,0.00061,0.0907,0.946,187.712,179973,4,136,9,697
45,58E5eiErWFE5oU9eSCa5ZA,Toucan,Camo Columbo,['Camo Columbo'],0.899,0.79,4,-3.651,1,0.793,0.155,0.111,0.92,107.985,166667,4,72,6,679
